"Title","Author","Description","Body","Date posted","Minimum Participants","Maximum Participants","Minimum Duration","Maximum Duration","Minimum Cost","Maximum Cost","Facilitation?","","","","","","Stages","Stages (other)","","","","","","","","","",""
"21st Century Town Meeting","Arfung","","ParticipantsThe participants in 21st Century Town Meetings are usually ordinary citizens who have no particular expertise in the topic under discussions. They are not stakeholders or professional lobbyists.Demographic targets for participants are set,...","Wed, 07/29/2009 - 18:44","500","5000","1 day","several days","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","Initial Preference Aggregation","Regional (e.g. State, Province, Autonomous Region)","Achieving Public Goods","Consultation (i.e. to advise decision makers)","Agenda Formation, Preference Articulation","4 - Polarized","3 - Sometimes Interdependent on Other Issues","3 - Somewhat Complex","","Non-Governmental Organization (Non-profit)","International Organization, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"Agora 2.0","Matteo","Agora 2.0 is a group of Italian young people devoted to create a software for law creation, law amending and law voting","DefinitionAgora 2.0 is a group of Italian young people devoted to create a software for law creation, law amending and law voting Problems and PurposeThe group is working to create a software to enable collaborative governance. The system shall include...","Fri, 12/23/2011 - 17:17","","","","","","","No","","","","","","","","National","","","","","","","","",""
"Agora Ekklesia","Michal","Looking for a new paradigm?","DefinitionAgora Ekklesia group decision-making method is defined by key elements:Support for fundamental human needs, non-business exchange, volunteering, social hobbies and group decision-making.Quick surveys on the background of face to face...","Wed, 04/29/2015 - 08:40","20","900 per assembly","1 hour, discussion unlimited","15 hours, discussion unlimited","US$50","US$10000","No","Discussion, Dialogue, or Deliberation, Story-Telling","","Make public decisions (i.e. exert direct authority), Direct delivery of public services (i.e. by entities other than government), Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Open to all","Discussion, Dialogue, or Deliberation, Story-Telling","","Face-to-face surveys during an casual event, Confirmation of acceptance similar to voting , Neighbourhood's Messenger's Network","International","Achieving Public Goods, Addressing Identity-Based Issues, Distributing Individual Material Goods, Providing Social Goods","Make public decisions (i.e. exert direct authority), Direct delivery of public services (i.e. by entities other than government), Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","","3 - Somewhat Polarized","5 - Always Tied to Other Issues","5 - Highly Complex","","Community Based Organization, Individual","Community Based Organization, Individual"
"As the People Want It, Blueprint for a new confederation","Paul Nollen","","Blueprint for a new confederation
This site is based on ""As the People Want It, Blueprint for a new confederation"" published by Fremskrittspartiets Utredningsinstitutt, an independent research institute dedicated to political and economic research and...","Sat, 12/25/2010 - 20:07","","","","","","","No","","","Make public decisions (i.e. exert direct authority)","","","","","","Achieving Public Goods, Distributing Individual Material Goods, Providing Social Goods","Make public decisions (i.e. exert direct authority)","","","","","","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Community Based Organization",""
"Asset-Based Community Development","Ffonsok","","Definition
Asset-Based Community Development is a communication methodology that utilizes the individual strengths and skills of citizens to build stronger communities and  establish sustainable development. Instead of focusing on solving a specific...","Mon, 05/31/2010 - 22:06","","","","","","","Yes","Express opinions/preferences only","","Co-governance (i.e. to share decision making with public authorities)","Open to all","Express opinions/preferences only","","Trust Building","","Achieving Public Goods, Providing Social Goods","Co-governance (i.e. to share decision making with public authorities)","","1 - Not Polarized","4 - Often Interdependent with Other Issues","","","Community Based Organization","Community Based Organization"
"Bungeni Parliamentary and Legislative Information System","Kevin Um","","The original version of this entry first appeared on Vitalizing Democracy in 2010 and was a contestant for the 2011 Reinhard Mohn Prize. It was originally submitted by Christian Kreutz.Bungeni aims at making Parliaments more open and accessible to...","Sun, 11/24/2013 - 18:15","","","","","","","No","Express opinions/preferences only, Other","","Raise public awareness, Develop individual capacities (e.g. skills, learning)","Open to all","Express opinions/preferences only, Other","","","International","Achieving Public Goods","Raise public awareness, Develop individual capacities (e.g. skills, learning)","Public Marketing","","","","","International Organization, National Government","International Organization"
"Cabildo Abierto","Aaronmontenegro","","Cabildo Abierto (pluralized as Cabildos Abiertos), translates as ""Open Town Council."" It is a form of deliberative meeting that has used in South and Central America beginning in the 16th Century. The Cabildo Abierto was originally used to assemble...","Wed, 12/01/2010 - 00:11","2","","1","","","","Yes","Discussion, Dialogue, or Deliberation","","Co-governance (i.e. to share decision making with public authorities)","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","Trust Building","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Distributing Individual Material Goods, Providing Social Goods","Co-governance (i.e. to share decision making with public authorities)","Agenda Formation, Conflict Resolution, Decision-Making, Implementation, Preference Articulation","3 - Somewhat Polarized","3 - Sometimes Interdependent on Other Issues","","","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Community Based Organization, Individual","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Community Based Organization, Individual"
"Charrette","Tim Schoot Uiterkamp","","DefinitionA charrette is a method of deliberation, through which participants from different subgroups of society reach a consensus position in a relatively short time. The charrette consists of three phases, the pre-charrette, charrette workshop and...","Fri, 05/02/2014 - 11:20","50","1000","2 days","2 weeks","","","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities)","Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities)","","","","","","",""
"Choicework Dialogue","richards1000","Choicework Dialogue -- also called Choice-Dialogue or ChoiceDialogue -- developed by Viewpoint Learning, is a structured and facilitated method of face-to-face, in-person deliberation in which a representative sample of approximately 40 individuals deliberates for 8 hours about a policy issue. The method requires participants to read workbooks containing information about the policy issue, consider several possible policy approaches -- each of which is associated with certain values -- for addressing the issue, consider multiple means of funding those policy approaches, identify policy objectives, and then weigh tradeoffs in making feasible policy and funding choices that will further those objectives. Surveys measure participants' beliefs and attitudes about the issue and the policy and funding approaches at the start and the end of the deliberation. Survey results are used by the organization sponsoring the deliberation as evidence of informed public opinion about the issue.","DefinitionChoicework Dialogue -- also called Choice-Dialogue or ChoiceDialogue -- developed by Viewpoint Learning, is a structured and facilitated method of face-to-face, in-person deliberation in which a representative sample of approximately 40...","Mon, 06/11/2012 - 18:40","30","45","8 hours","8 hours","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Other","Random Selection","Discussion, Dialogue, or Deliberation","","","","Achieving Public Goods","Consultation (i.e. to advise decision makers), Other","Preference Articulation","5 - Very Polarized","5 - Always Tied to Other Issues","5 - Highly Complex","","Non-Governmental Organization (Non-profit), For Profit Business","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Non-Governmental Organization (Non-profit), Philanthropic Organization (i.e. dedicated to making monetary grants or gifts), For Profit Business"
"Citizen Advisory Board","Jcourter","","Citizen Advisory Boards are a local government entity which consists of volunteer citizens from the community they represent. Citizen Advisory Boards add to the deliberative quality of a democracy by involving everyday citizens in political processes...","Fri, 06/04/2010 - 13:05","1","100","1","365","US$1","US$999","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","","Discussion, Dialogue, or Deliberation","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Consultation (i.e. to advise decision makers)","Conflict Resolution, Decision-Making, Preference Articulation","5 - Very Polarized","2 - Seldom Tied to Other Issues","","","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)"
