"Title","Description","Body","Annual Budget","Country","Executive Director","Fulltime Staff","Part-time Staff","Volunteer Count"
"+D = Democracia em Movimento (Portugal)","+D Mission: ""Politics beyond the parties'

The mission of the Movement + D lies in the renewal of representative democracy, promoting the dignity of politics, politicians and proper respect for the public interest by all holders that manage, claiming the approach of politicians to citizens through the electoral process, by requiring transparency and accountability and, in general, the development of ethics in politics. The Movement + D will also assume the task of promoting the strengthening of democracy through the development of instruments legally recognized but also by incorporating innovative tools Participatory Democracy.","In recent decades the Portuguese citizens drifted away significantly from political life, as the growing electoral abstention shows, while the country plunged into a severe financial crisis and the need for an international bailout, with consequences...","","Portugal","","","",""
"ADELS","","ADELS (Association pour la démocratie et l’éducation locale et sociale) is a Paris-based organization, set up in 1960, whose work is aimed at encouraging political participation and civic engagement beyond the ballot box at the subcentral level of...","","France","François Hannoyer","","",""
"Age Sector Platform","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Agir pour la démocratie directe","","Acting for Direct Democracy(French association under Law July First1901)Mission statement(statutes article 2)The association “Acting for direct democracy” has for aim to reform the Constitution of the French Republic to introduce at local, regional and...","","France","","","",""
"Airesis - Tecnologie Democratiche",""," Mission and purposeIn the political arena and by the citizen, the Internet is increasingly perceived as potential instrument for the democratic participation; however, few and undeveloped are the web platforms conceived to help parties and political...","","Italy","","","",""
"Aktiv Demokrati","","Aktiv Demokrati (swedish for ""Active Democracy"") is a non-political party for realizing direct democracy in the swedish parliament, using a mix of delegation and direct voting through the internet.The basic idea is that all citizens from different parts...","200","Sweden","Jonas Liljegren","","","40"
"Alliance For Education","","Mission and Purpose
The Alliance for Education is a non-profit, non-government organization dedicated to bettering education in Seattle Public Schools. Independent from the Seattle School District itself, the Alliance works directly with the community...","","","Sara Morris","","",""
"Americans Discuss Social Security","","The Americans Discuss Social Security (ADSS) is an organization based out of Washington, D.C. that focuses on engaging American citizens in discussing the reformation of the United States Social Security System. Mission and PurposeThe Americans Discuss...","","United States","","","",""
"Americans Elect","Written by: Tony Elia and Colton Schweitzer

This article explores the non-partisan, non-profit organization, Americans Elect, the organization that attempted  to create the first national online presidential primary.","DefinitionAmericans Elect is a nonprofit nonpartisan organization whose goal is to “fix the way we elect our leaders” by implementing the first non partisan, national online presidential primary. Americans Elect has focused on achieving three clear goals...","","United States","Peter Ackerman ","","100+",""
"AmericaSpeaks","","AmericaSpeaks is a Washington, D.C.-based non-partisan, non-profit organization whose mission is to ""engage citizens in the public decisions that impact their lives."" AmericaSpeaks' work is focused on trying to create opportunities for citizens to impact...","7","","Carolyn Lukensmeyer","14","60","6001"
